Transaction_ID,Transaction_Date,Transaction_Time,Customer_ID,Amount,Payment_Method,Transaction_Type,Location,Device_Type,Merchant_Category,Customer_Age,Transaction_Status,Fraud_Flag
TXN100001,2026-01-01,06:46,CUST1051,167.74,Wallet,Online Purchase,Chennai,Mobile,Fashion,26,Successful,0
TXN100002,2026-01-01,19:00,CUST1106,195.2,Credit Card,Online Purchase,Delhi,Mobile,Grocery,34,Successful,0
TXN100003,2026-01-01,14:25,CUST1112,104.43,Debit Card,Bill Payment,Bengaluru,Tablet,Electronics,22,Successful,0
TXN100004,2026-01-01,10:13,CUST1197,185.69,UPI,Online Purchase,Kochi,Mobile,Grocery,48,Successful,0
TXN100005,2026-01-01,07:37,CUST1169,229.96,UPI,Money Transfer,Coimbatore,Mobile,Electronics,57,Successful,0
TXN100006,2026-01-01,20:36,CUST1072,101.61,Wallet,Online Purchase,Bengaluru,Mobile,Travel,55,Successful,0
TXN100007,2026-01-02,06:10,CUST1139,61.6,Credit Card,Online Purchase,Delhi,Mobile,Food,60,Successful,0
TXN100008,2026-01-02,18:35,CUST1080,657.19,Net Banking,ATM,Coimbatore,Mobile,Utilities,36,Successful,0
TXN100009,2026-01-02,22:12,CUST1180,331.66,UPI,Online Purchase,Coimbatore,Tablet,Utilities,53,Successful,0
TXN100010,2026-01-02,10:42,CUST1151,104.83,UPI,Subscription,Pune,Mobile,Utilities,50,Successful,0
TXN100011,2026-01-02,10:02,CUST1049,225.8,UPI,ATM,Hyderabad,Mobile,Grocery,30,Successful,0
TXN100012,2026-01-02,23:32,CUST1166,41.32,Debit Card,Money Transfer,Bengaluru,Mobile,Entertainment,31,Successful,0
TXN100013,2026-01-03,20:05,CUST1047,25.1,UPI,Money Transfer,Hyderabad,Mobile,Fashion,50,Successful,0
TXN100014,2026-01-03,03:49,CUST1072,536.0,Net Banking,Subscription,Coimbatore,Mobile,Utilities,46,Successful,0
TXN100015,2026-01-03,07:55,CUST1007,228.05,Credit Card,Online Purchase,Chennai,Desktop,Travel,60,Successful,0
TXN100016,2026-01-03,23:09,CUST1066,172.83,Wallet,Online Purchase,Coimbatore,Desktop,Utilities,53,Successful,0
TXN100017,2026-01-03,02:04,CUST1077,228.76,UPI,Online Purchase,Hyderabad,Mobile,Electronics,61,Under Review,1
TXN100018,2026-01-04,21:22,CUST1062,4564.81,Net Banking,ATM,,Desktop,Grocery,27,Successful,0
TXN100019,2026-01-04,20:09,CUST1157,432.29,Debit Card,Online Purchase,Delhi,Desktop,Entertainment,48,Successful,0
TXN100020,2026-01-04,01:43,CUST1038,63.72,Debit Card,Money Transfer,Pune,Desktop,Electronics,23,Successful,0
TXN100021,2026-01-04,23:01,CUST1125,33.77,Net Banking,Subscription,Pune,Mobile,Entertainment,18,Successful,0
TXN100022,2026-01-04,11:12,CUST1084,520.37,Debit Card,ATM,Pune,Mobile,Electronics,24,Successful,0
TXN100023,2026-01-04,05:39,CUST1161,426.71,Debit Card,Money Transfer,Delhi,Mobile,Electronics,44,Successful,0
TXN100024,2026-01-05,01:01,CUST1029,322.16,UPI,Online Purchase,Pune,Mobile,Food,38,Successful,0
TXN100025,2026-01-05,20:19,CUST1114,80.41,UPI,ATM,Bengaluru,Mobile,Food,45,Successful,0
TXN100026,2026-01-05,00:00,CUST1079,260.68,Wallet,Money Transfer,Delhi,Mobile,Fashion,33,Successful,0
TXN100027,2026-01-05,11:36,CUST1023,87.94,Debit Card,Online Purchase,Pune,Desktop,Grocery,63,Successful,0
TXN100028,2026-01-05,21:08,CUST1106,351.7,Debit Card,Online Purchase,Delhi,Desktop,Travel,40,Successful,0
TXN100029,2026-01-06,11:16,CUST1131,484.28,Credit Card,Subscription,Hyderabad,Desktop,Travel,37,Successful,0
TXN100030,2026-01-06,16:08,CUST1101,105.27,UPI,Money Transfer,Kochi,Mobile,Travel,55,Successful,0
TXN100031,2026-01-06,09:10,CUST1173,562.17,UPI,ATM,Kochi,Mobile,Electronics,42,Successful,0
TXN100032,2026-01-06,15:14,CUST1008,203.33,Debit Card,ATM,Bengaluru,Mobile,Food,45,Successful,0
TXN100033,2026-01-06,14:23,CUST1086,296.45,Credit Card,Money Transfer,Mumbai,Mobile,Grocery,22,Successful,0
TXN100034,2026-01-06,14:37,CUST1117,48.93,UPI,Bill Payment,Chennai,Mobile,Electronics,38,Successful,0
TXN100035,2026-01-07,18:54,CUST1029,228.66,Credit Card,Bill Payment,Pune,Mobile,Entertainment,35,Successful,0
TXN100036,2026-01-07,11:34,CUST1002,92.24,UPI,Online Purchase,Chennai,Mobile,Food,64,Successful,0
TXN100037,2026-01-07,22:29,CUST1113,291.38,Debit Card,Bill Payment,Delhi,Desktop,Food,23,Successful,0
TXN100038,2026-01-07,19:30,CUST1178,786.16,UPI,ATM,Chennai,Mobile,Utilities,46,Successful,0
TXN100039,2026-01-07,02:48,CUST1065,242.14,Debit Card,Money Transfer,Bengaluru,Desktop,Utilities,36,Successful,0
TXN100040,2026-01-08,04:04,CUST1108,73.64,UPI,Subscription,Bengaluru,Mobile,Grocery,50,Under Review,1
TXN100041,2026-01-08,18:59,CUST1020,339.16,Credit Card,Bill Payment,Coimbatore,Mobile,Entertainment,18,Successful,0
TXN100042,2026-01-08,06:43,CUST1180,270.91,UPI,Money Transfer,Kochi,Mobile,Grocery,62,Successful,0
TXN100043,2026-01-08,20:49,CUST1037,1420.27,UPI,Money Transfer,Pune,Mobile,Grocery,20,Successful,0
TXN100044,2026-01-08,08:13,CUST1072,233.68,UPI,Money Transfer,Coimbatore,Mobile,Electronics,59,Successful,0
